modelo,criterio,categoria,n_horas,mape,custo_total
naive semanal,tipo_feriado,dia normal,21672,5.246059033902564,8293747526.615937
naive semanal,tipo_feriado,feriado,576,10.138426370065917,222105448.33483386
SARIMA,tipo_feriado,dia normal,21672,5.587271030071605,8134776470.378317
SARIMA,tipo_feriado,feriado,576,9.189442852462133,269188422.1877612
Prophet,tipo_feriado,dia normal,21672,4.8984419138761135,7599010562.547123
Prophet,tipo_feriado,feriado,576,8.618038472655924,259935218.89943764
Chronos-2,tipo_feriado,dia normal,21672,1.683480424677557,2863846704.366247
Chronos-2,tipo_feriado,feriado,576,7.09066480666381,143023298.11261368
naive semanal,estacao,inverno,5496,4.10801514832075,1378441178.199711
naive semanal,estacao,outono,6624,5.725114812286929,2353233047.6497555
naive semanal,estacao,primavera,4368,5.236293181501024,2911502317.2765956
naive semanal,estacao,verão,5760,6.2776709346073645,1872676431.8247082
SARIMA,estacao,inverno,5496,5.446460309077278,1615299715.47405
SARIMA,estacao,outono,6624,5.898694614938915,2164599108.7921534
SARIMA,estacao,primavera,4368,5.877546738829938,3092536420.2279673
SARIMA,estacao,verão,5760,5.503582240186933,1531529648.0719092
Prophet,estacao,inverno,5496,4.484453465224625,1486731620.7574492
Prophet,estacao,outono,6624,5.0151428983373085,2015844281.6193647
Prophet,estacao,primavera,4368,5.160873431265048,2792371810.7492504
Prophet,estacao,verão,5760,5.33219884835874,1563998068.3204966
Chronos-2,estacao,inverno,5496,1.4835876573457731,494967598.58194804
Chronos-2,estacao,outono,6624,1.926262209034017,801207587.35679
Chronos-2,estacao,primavera,4368,1.9048668416631345,1112296684.4683049
Chronos-2,estacao,verão,5760,1.967846126814601,598398132.071818
naive semanal,tipo_dia,dia útil,15912,5.572815601046781,6940566658.925481
naive semanal,tipo_dia,fim de semana,6336,4.870215140157508,1575286316.0252886
SARIMA,tipo_dia,dia útil,15912,4.327684571957123,5954763510.619044
SARIMA,tipo_dia,fim de semana,6336,9.078020823508249,2449201381.947035
Prophet,tipo_dia,dia útil,15912,4.614741367511702,5833198448.537591
Prophet,tipo_dia,fim de semana,6336,5.9490622913394455,2025747332.9089694
Chronos-2,tipo_dia,dia útil,15912,1.8474457021231812,2394926288.519717
Chronos-2,tipo_dia,fim de semana,6336,1.7632662058185473,611943713.9591435
