modelo,fator_sub,custo_total,custo_subprevisao,custo_superprevisao,n_horas_sub,n_horas_super
naive semanal,1.0,8515852974.95077,4456531886.5894985,4059321088.361272,11168,10912
naive semanal,1.5,10744118918.24552,6684797829.884248,4059321088.361272,11168,10912
naive semanal,2.0,12972384861.540268,8913063773.178997,4059321088.361272,11168,10912
naive semanal,3.0,17428916748.129765,13369595659.768496,4059321088.361272,11168,10912
SARIMA,1.0,8403964892.566079,5323957112.930345,3080007779.6357346,12656,9424
SARIMA,1.5,11065943449.03125,7985935669.395517,3080007779.6357346,12656,9424
SARIMA,2.0,13727922005.496422,10647914225.86069,3080007779.6357346,12656,9424
SARIMA,3.0,19051879118.426765,15971871338.791035,3080007779.6357346,12656,9424
Prophet,1.0,7858945781.446561,4587147884.15831,3271797897.288251,11054,11026
Prophet,1.5,10152519723.525715,6880721826.237465,3271797897.288251,11054,11026
Prophet,2.0,12446093665.60487,9174295768.31662,3271797897.288251,11054,11026
Prophet,3.0,17033241549.76318,13761443652.47493,3271797897.288251,11054,11026
Chronos-2,1.0,3006870002.478861,1711268995.364387,1295601007.1144738,11669,10411
Chronos-2,1.5,3862504500.1610546,2566903493.046581,1295601007.1144738,11669,10411
Chronos-2,2.0,4718138997.843248,3422537990.728774,1295601007.1144738,11669,10411
Chronos-2,3.0,6429407993.207636,5133806986.093162,1295601007.1144738,11669,10411
